SERVICE_NAME,SERVICE_CODE,DESCRIPTION,REQUESTED_DATETIME,ADDRESS,LATITUDE,LONGITUDE
"""Dead animal""","""DAPUB1""","""(2) DEAD RACCOONS""",2020-08-10T09:18:00Z,"""WARSAW AV & WILDER AV - GJ1143331403 """,39.106144622732,-84.5547763184459
"""Dead animal""","""DAPUB1""","""2000 Block of Woodrow dead animal """,2020-03-19T08:25:00Z,"""1919 GEST ST - GJ1191431574 """,39.1075678855561,-84.5491567420746
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2020-03-18T15:22:00Z,"""5100 COLERAIN AV, CINC - GJ1017439720""",39.1813391894576,-84.5667285763143
"""Dead animal""","""DAPUB1""","""DEAD DEER""",2020-03-18T09:10:00Z,"""PRESIDENT DR & FARADAY RD - GJ1072936537 """,39.1525383162525,-84.5613139916515
"""Dead animal""","""DAPUB1""","""racoon""",2020-03-19T07:21:00Z,"""KEMPER LN & RIVERSIDE DR - GJ1726632500 """,39.114587461734,-84.4870264819624
"""Dead animal""","""DAPUB1""","""Dead Raccoon a few feet from this address on sidewalk""",2019-03-28T09:33:00Z,"""2262 HARRISON AV - GJ0958734629 """,39.1356409949312,-84.5751076824678
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2019-03-27T11:55:00Z,"""3423 W 8TH ST, CINC - GJ1036031295""",39.1054403137111,-84.5671986528316
"""Dead animal""","""DAPUB1""","""DEAD RACOON IN THE STREET""",2019-10-29T07:08:00Z,"""1809 WYNNEWOOD LN - GJ1974842758 """,39.2063142041008,-84.4550178039829
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2019-10-30T10:23:00Z,"""1528 TEAKWOOD AV, CINC - GJ1193342654""",39.2073228990584,-84.5454693820707
"""Dead animal""","""DAPUB1""","""DEAD RACOON IN THE STREET""",2019-10-30T08:45:00Z,"""4932 GLENWAY AV - GJ0751332786 """,39.1195419067023,-84.5996470265173
"""Dead animal""","""DAPUB1""","""DEAD DEER""",2019-10-30T07:03:00Z,"""6414 FAIRHURST AV - GJ2133940776 """,39.1880693135125,-84.4372535754113
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2019-10-28T20:13:00Z,"""958 DELHI AV, CINC - GJ0967930089""",39.0946405366509,-84.5753962006143
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2019-10-29T04:51:00Z,"""3279 LINWOOD AV, CINC - GJ2240434003""",39.1268253462716,-84.4271536924558
"""Dead animal""","""DAPUB1""","""DEAD RACOON ON SIDE OF THE STREET""",2019-03-27T12:21:00Z,"""2945 LISCHER AV - GJ0759235535 """,39.1442719694411,-84.5978956304376
"""Dead animal""","""DAPUB1""","""DEAD DEER""",2019-10-30T12:15:00Z,"""5015 MADISON RD - GJ2380937894 """,39.16149569807,-84.4096408780461
"""Dead animal""","""DAPUB1""",""" """,2019-10-29T14:54:00Z,"""1700 PULTE ST - GJ1172634777 """,39.1364553802443,-84.5503301293569
"""Dead animal""","""DAPUB1""","""dead cat on sidewalk - partially covered with piece of white foam - right by light pole between 2524 and 2522 hemlock st""",2019-03-27T13:30:00Z,"""2522 HEMLOCK ST - GJ1667433853 """,39.1269238055522,-84.4934325893374
"""Dead animal""","""DAPUB1""","""DEAD POSSUM AT CURB WRAPPED IN TOWEL THE 1ST HOUSE  AFTER PASSING JACOB CENTER """,2019-03-26T14:17:00Z,"""5425 WINTON RIDGE LN - GJ1414740683 """,39.1890334939716,-84.5204804462879
"""Dead animal""","""DAPUB1""","""Email - There is a dead raccoon at 2707 Hackberry Street; poor thing appears to have been hit by a car.""",2019-10-28T16:11:00Z,"""2707 HACKBERRY ST - GJ1824734084 """,39.1286013068547,-84.4751731676454
